Country,Country Code,Indicator Name,Indicator Code,2000,2005,2010,2015,2018
Northern Mariana Islands,MNP,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,,,,,
Mozambique,MOZ,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.33,1.3,1.63,2.19,2.3
Mauritania,MRT,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,0.2,0.13,0.086,0.033,0.036
Mauritius,MUS,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,5.49,5,3.81,3.94,4.35
Malawi,MWI,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.42,2.87,3.21,3.62,3.63
Malaysia,MYS,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.53,1.28,1.32,0.85,0.85
North America,NAC,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,9.19,9.49,9.436354762,9.722440173,9.772274581
Namibia,NAM,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,3.26,2.7,1.99,5.23,5.43
New Caledonia,NCL,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,,,,,
Niger,NER,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,0.23,0.25,0.31,0.55,0.67
Nigeria,NGA,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,12.5,12.51,11.72,10.81,10.84
Nicaragua,NIC,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,5.05,5.3,4.79,5.03,5.18
Netherlands,NLD,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,11.08,10.71,10.21,9.55,9.61
Norway,NOR,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,7.95,8.87,8.94,7.52,7.41
Nepal,NPL,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.12,1.95,1.94,2.05,2.05
Nauru,NRU,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,6.04,3.4,5.73,3.71,3.71
New Zealand,NZL,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,10.42,10.92,11.32,10.44,10.63
OECD members,OED,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,9.970381514,9.817359128,9.102932507,9.208412014,9.207099994
Oman,OMN,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,6.56,1.56,0.73,0.77,0.78
Other small states,OSS,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,5.888557158,6.101421471,5.586567265,5.438127651,5.115108283
Pakistan,PAK,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,0.085,0.16,0.19,0.29,0.34
Panama,PAN,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,5.48,5.49,6.84,7.71,7.98
Peru,PER,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,6.54,6.99,7.69,6.63,6.38
Philippines,PHL,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,6.06,5.67,6.98,6.7,6.86
Palau,PLW,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,,,,,
Papua New Guinea,PNG,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.79,1.6,1.67,1.39,1.39
Poland,POL,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,9.17,10.6,11.21,11.63,11.71
Pre-demographic dividend,PRE,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,6.210145082,6.030477244,5.966972969,5.582300184,5.56758095
Puerto Rico,PRI,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,,,,,
"Korea, Dem. People’s Rep.",PRK,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,3.52,3.68,3.78,3.82,3.8
Portugal,PRT,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,14.08,13.37,12.51,11.88,12.03
Paraguay,PRY,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,6.38,6.66,7.58,7.26,7.58
West Bank and Gaza,PSE,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,,,,,
Pacific island small states,PSS,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.568772134,2.436186245,2.395675082,2.398639467,2.471712547
Post-demographic dividend,PST,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,10.99473947,10.77708956,10.14117812,10.12893328,10.09679217
French Polynesia,PYF,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,,,,,
Qatar,QAT,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.15,1.67,1.69,1.62,1.59
Romania,ROU,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,17.45,15.84,13.97,11.64,11.74
Russian Federation,RUS,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,15.73,17.36,15.87,12.47,11.19
Rwanda,RWA,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,13.73,13,10.27,9.26,8.95
South Asia,SAS,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.867595317,1.916463077,3.453921333,4.343318433,4.333362264
Saudi Arabia,SAU,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,0.18,0.17,0.17,0.2,0.19
Sudan,SDN,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,,,,0.52,0.51
Senegal,SEN,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,0.96,0.85,0.6,0.73,0.76
Singapore,SGP,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.49,1.78,2.19,2.07,2.03
Solomon Islands,SLB,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.2,1.6,1.6,1.55,1.83
Sierra Leone,SLE,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,5.8,5.57,5.83,5.63,5.7
El Salvador,SLV,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,3.86,3.8,3.31,3.59,3.89
San Marino,SMR,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,,,,,
Somalia,SOM,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,0,0.068,0.28,0.013,0.009
Serbia,SRB,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,,,11.69,8.7,8.75
Sub-Saharan Africa (excluding high income),SSA,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,6.316944134,6.108324246,6.298028469,5.873041144,5.838243129
South Sudan,SSD,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,,,,,
Sub-Saharan Africa,SSF,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,6.315086696,6.105786698,6.293373381,5.871126336,5.837485471
Small states,SST,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,5.67410055,5.796114381,5.420580073,5.356663564,5.104701284
Sao Tome and Principe,STP,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,8.2,8.72,8.34,7.19,5.88
Suriname,SUR,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,5.29,5.41,6.22,5.81,5.33
Slovak Republic,SVK,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,12.47,12.06,12,11.53,11.14
Slovenia,SVN,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,12.6,12.3,11.54,12.74,11.9
Sweden,SWE,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,8.53,8.64,9.49,9.13,8.93
Eswatini,SWZ,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,7.46,6.71,6.82,9.84,10.04
Sint Maarten (Dutch part),SXM,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,,,,,
Seychelles,SYC,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,7.62,6.13,10.19,18.35,20.5
Syrian Arab Republic,SYR,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.15,0.92,0.88,0.28,0.24
Turks and Caicos Islands,TCA,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,,,,,
Chad,TCD,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,4.34,4.62,6.58,1.45,1.37
East Asia & Pacific (IDA & IBRD countries),TEA,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,3.427089523,3.627568951,6.053491627,6.262173643,6.224385206
Europe & Central Asia (IDA & IBRD countries),TEC,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,11.2756518,11.62128307,10.87404635,8.809516756,8.053438992
Togo,TGO,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.79,3.26,2.11,2.37,2.46
Thailand,THA,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,6.49,6.81,7.71,8.36,8.3
Tajikistan,TJK,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.97,2.51,2.4,3.11,3.28
Turkmenistan,TKM,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,4.82,4.88,4.82,5.3,4.93
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,7.361727965,7.243281056,7.045074689,6.638763673,6.341094374
Timor-Leste,TLS,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.53,0.83,0.7,2.01,2.17
Middle East & North Africa (IDA & IBRD countries),TMN,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,0.544953758,0.623679014,0.703944203,0.685778615,0.682987694
Tonga,TON,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.7,2.32,1.39,0.68,0.8
South Asia (IDA & IBRD),TSA,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.867595317,1.916463077,3.453921333,4.343318433,4.333362264
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,6.315086696,6.105786698,6.293373381,5.871126336,5.837485471
Trinidad and Tobago,TTO,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,5.27,6.17,6.21,6.88,6.72
Tunisia,TUN,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.36,1.46,1.4,1.99,2.12
Turkey,TUR,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.41,2.12,2.32,2.12,2.05
Tuvalu,TUV,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.96,2.03,1.68,1.98,1.52
Tanzania,TZA,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,8.63,8.71,9.74,11.05,11.27
Uganda,UGA,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,13.61,12.92,13.5,15.14,15.09
Ukraine,UKR,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,12.46,12.01,13.57,10.16,8.32
Upper middle income,UMC,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,5.112497179,5.237981297,6.730078707,6.400602629,6.170887364
Uruguay,URY,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,8.09,7.46,7.1,6.99,6.92
United States,USA,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,9.19,9.49,9.36,9.82,9.87
Uzbekistan,UZB,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,5.68,4.15,3.01,2.59,2.59
St. Vincent and the Grenadines,VCT,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,5.01,5.99,7.03,8.46,9.06
"Venezuela, RB",VEN,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,9.15,9.42,8.67,6.82,4.14
British Virgin Islands,VGB,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,,,,,
Virgin Islands (U.S.),VIR,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,,,,,
Vietnam,VNM,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.21,2.63,4.9,7.86,8.66
Vanuatu,VUT,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.17,1.2,1.7,2.14,2.25
World,WLD,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,5.488338759,5.428839282,6.283774506,6.297804073,6.181288819
Samoa,WSM,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,3.79,4.2,2.97,2.59,2.66
Kosovo,XKX,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,,,,,
"Yemen, Rep.",YEM,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,0.79,0.34,0.18,0.055,0.051
South Africa,ZAF,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,10.02,9.58,10.04,9.61,9.52
Zambia,ZMB,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,4.05,3.9,5.43,6.89,6.54
Zimbabwe,ZWE,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,2.46,2.77,3.93,4.92,4.67
